cp	max_depth	min_split	min_bucket	ganancia_promedio
-0.7	6	600	500	50424000
-0.5	10	1000	1	52534000
-0.3	6	400	5	52376000
-0.7	10	1000	5	53826000
-0.3	6	400	3	52464000
-0.3	6	400	1	52330000
-0.7	10	1000	3	54280000
-0.3	6	400	300	51222000
-0.7	10	1000	1	52534000
-0.3	6	400	500	50424000
-0.5	6	400	5	52376000
-0.3	10	800	5	53470000
-0.5	6	400	3	52464000
-0.3	10	800	3	54160000
-0.5	6	400	1	52330000
-0.5	6	400	300	51222000
-0.3	10	800	1	52638000
-0.5	6	400	500	50424000
-0.5	10	800	5	53470000
-0.7	6	400	5	52376000
-0.7	6	400	3	52464000
-0.5	10	800	3	54160000
-0.7	6	400	1	52330000
-0.5	10	800	1	52638000
-0.7	6	400	300	51222000
-0.7	10	800	5	53470000
-0.7	6	400	500	50424000
-0.3	6	200	5	52686000
-0.7	10	800	3	54160000
-0.3	6	200	3	52586000
-0.7	10	800	1	52638000
-0.3	6	200	1	52252000
-0.3	6	200	300	51222000
-0.3	10	600	5	53712000
-0.3	6	200	500	50424000
-0.3	10	600	3	54096000
-0.5	6	200	5	52686000
-0.5	6	200	3	52586000
-0.3	10	600	1	52522000
-0.5	6	200	1	52252000
-0.5	10	600	5	53712000
-0.5	6	200	300	51222000
-0.5	6	200	500	50424000
-0.5	10	600	3	54096000
-0.7	6	200	5	52686000
-0.5	10	600	1	52522000
-0.7	6	200	3	52586000
-0.7	6	200	1	52252000
-0.7	10	600	5	53712000
-0.7	6	200	300	51222000
-0.7	10	600	3	54096000
-0.7	6	200	500	50424000
