envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
134	1614000	1518000	1878000	1878000	1278000	1518000	
135	1635000	1515000	1875000	1875000	1275000	1635000	
136	1632000	1512000	1872000	1872000	1272000	1632000	
137	1653000	1629000	1869000	1869000	1269000	1629000	
138	1674000	1746000	1866000	1866000	1266000	1626000	
139	1671000	1743000	1863000	1863000	1263000	1623000	
140	1692000	1740000	1860000	1980000	1260000	1620000	
141	1713000	1737000	1977000	1977000	1257000	1617000	
142	1734000	1734000	1974000	1974000	1254000	1734000	
143	1731000	1731000	1971000	1971000	1251000	1731000	
144	1752000	1728000	1968000	1968000	1248000	1848000	
145	1797000	1845000	1965000	1965000	1245000	1965000	
146	1818000	1842000	1962000	1962000	1242000	2082000	
147	1815000	1839000	1959000	1959000	1239000	2079000	
148	1836000	1956000	1956000	1956000	1236000	2076000	
149	1857000	1953000	1953000	1953000	1233000	2193000	
150	1854000	1950000	1950000	1950000	1230000	2190000	
151	1899000	1947000	2067000	2067000	1227000	2187000	
152	1896000	1944000	2064000	2064000	1224000	2184000	
153	1893000	1941000	2061000	2061000	1221000	2181000	
154	1914000	2058000	2058000	2058000	1218000	2178000	
155	1935000	2055000	2055000	2055000	1215000	2295000	
156	1956000	2052000	2052000	2052000	1332000	2292000	
157	1977000	2049000	2049000	2049000	1449000	2289000	
158	1998000	2166000	2046000	2046000	1446000	2286000	
159	2019000	2163000	2043000	2043000	1443000	2403000	
160	2016000	2160000	2040000	2040000	1440000	2400000	
161	2061000	2277000	2037000	2037000	1557000	2397000	
162	2058000	2274000	2034000	2034000	1554000	2394000	
163	2079000	2271000	2031000	2031000	1551000	2511000	
164	2100000	2268000	2148000	2028000	1548000	2508000	
165	2097000	2265000	2145000	2025000	1545000	2505000	
166	2094000	2262000	2142000	2022000	1542000	2502000	
167	2091000	2259000	2139000	2019000	1539000	2499000	
168	2112000	2256000	2136000	2016000	1656000	2496000	
169	2109000	2253000	2133000	2013000	1653000	2493000	
170	2130000	2250000	2130000	2010000	1770000	2490000	
171	2151000	2247000	2127000	2127000	1767000	2487000	
172	2196000	2364000	2124000	2244000	1764000	2484000	
173	2241000	2361000	2121000	2241000	1881000	2601000	
174	2262000	2478000	2118000	2238000	1878000	2598000	
175	2283000	2475000	2115000	2355000	1875000	2595000	
176	2280000	2472000	2112000	2352000	1872000	2592000	
177	2325000	2589000	2229000	2349000	1869000	2589000	
178	2322000	2586000	2226000	2346000	1866000	2586000	
179	2319000	2583000	2223000	2343000	1863000	2583000	
180	2340000	2580000	2220000	2340000	1980000	2580000	
181	2361000	2577000	2217000	2337000	1977000	2697000	
182	2382000	2574000	2214000	2334000	1974000	2814000	
183	2427000	2571000	2211000	2451000	1971000	2931000	
184	2448000	2688000	2208000	2448000	1968000	2928000	
185	2469000	2685000	2325000	2445000	1965000	2925000	
186	2466000	2682000	2322000	2442000	1962000	2922000	
187	2463000	2679000	2319000	2439000	1959000	2919000	
188	2484000	2676000	2316000	2436000	2076000	2916000	
189	2481000	2673000	2313000	2433000	2073000	2913000	
190	2502000	2790000	2310000	2430000	2070000	2910000	
191	2499000	2787000	2307000	2427000	2067000	2907000	
192	2520000	2784000	2424000	2424000	2064000	2904000	
193	2517000	2781000	2421000	2421000	2061000	2901000	
194	2562000	2898000	2538000	2418000	2058000	2898000	
195	2559000	2895000	2535000	2415000	2055000	2895000	
196	2556000	2892000	2532000	2412000	2052000	2892000	
197	2577000	2889000	2529000	2409000	2049000	3009000	
198	2622000	3006000	2526000	2526000	2046000	3006000	
199	2619000	3003000	2523000	2523000	2043000	3003000	
200	2616000	3e+06	2520000	2520000	2040000	3e+06	
201	2613000	2997000	2517000	2517000	2037000	2997000	
202	2610000	2994000	2514000	2514000	2034000	2994000	
203	2655000	2991000	2631000	2511000	2031000	3111000	
204	2700000	3108000	2628000	2508000	2148000	3108000	
205	2721000	3105000	2625000	2505000	2145000	3225000	
206	2742000	3102000	2742000	2502000	2142000	3222000	
207	2739000	3099000	2739000	2499000	2139000	3219000	
208	2760000	3216000	2736000	2496000	2136000	3216000	
209	2757000	3213000	2733000	2493000	2133000	3213000	
210	2778000	3210000	2730000	2610000	2130000	3210000	
211	2775000	3207000	2727000	2607000	2127000	3207000	
212	2772000	3204000	2724000	2604000	2124000	3204000	
213	2769000	3201000	2721000	2601000	2121000	3201000	
214	2766000	3198000	2718000	2598000	2118000	3198000	
215	2763000	3195000	2715000	2595000	2115000	3195000	
216	2784000	3192000	2832000	2592000	2112000	3192000	
217	2805000	3189000	2829000	2589000	2109000	3309000	
218	2802000	3186000	2826000	2586000	2106000	3306000	
219	2799000	3183000	2823000	2583000	2103000	3303000	
220	2820000	3180000	2820000	2700000	2100000	3300000	
221	2817000	3177000	2817000	2697000	2097000	3297000	
222	2814000	3174000	2814000	2694000	2094000	3294000	
223	2811000	3171000	2811000	2691000	2091000	3291000	
224	2832000	3168000	2808000	2688000	2088000	3408000	
225	2853000	3165000	2805000	2685000	2205000	3405000	
226	2850000	3162000	2802000	2682000	2202000	3402000	
227	2895000	3159000	2799000	2799000	2319000	3399000	
228	2892000	3156000	2796000	2796000	2316000	3396000	
229	2913000	3153000	2793000	2793000	2433000	3393000	
230	2910000	3150000	2790000	2790000	2430000	3390000	
231	2907000	3147000	2787000	2787000	2427000	3387000	
232	2904000	3144000	2784000	2784000	2424000	3384000	
233	2925000	3141000	2781000	2781000	2541000	3381000	
234	2922000	3138000	2778000	2778000	2538000	3378000	
235	2919000	3135000	2775000	2775000	2535000	3375000	
236	2940000	3132000	2772000	2772000	2532000	3492000	
237	2961000	3129000	2769000	2889000	2529000	3489000	
238	2982000	3126000	2766000	3006000	2526000	3486000	
239	3003000	3123000	2883000	3003000	2523000	3483000	
240	3048000	3240000	2880000	3e+06	2640000	3480000	
241	3069000	3357000	2877000	2997000	2637000	3477000	
242	3066000	3354000	2874000	2994000	2634000	3474000	
243	3111000	3351000	2991000	2991000	2631000	3591000	
244	3132000	3348000	2988000	2988000	2748000	3588000	
245	3129000	3345000	2985000	2985000	2745000	3585000	
246	3126000	3342000	2982000	2982000	2742000	3582000	
247	3147000	3339000	3099000	2979000	2739000	3579000	
248	3192000	3456000	3096000	2976000	2736000	3696000	
249	3213000	3453000	3213000	2973000	2733000	3693000	
250	3210000	3450000	3210000	2970000	2730000	3690000	
251	3231000	3447000	3207000	2967000	2727000	3807000	
252	3228000	3444000	3204000	2964000	2724000	3804000	
253	3249000	3441000	3201000	2961000	2841000	3801000	
254	3270000	3438000	3198000	2958000	2838000	3918000	
255	3267000	3435000	3195000	2955000	2835000	3915000	
256	3264000	3432000	3192000	2952000	2832000	3912000	
257	3261000	3429000	3189000	2949000	2829000	3909000	
258	3354000	3426000	3306000	3066000	2946000	4026000	
259	3351000	3423000	3303000	3063000	2943000	4023000	
260	3348000	3420000	3300000	3060000	2940000	4020000	
261	3369000	3417000	3297000	3177000	2937000	4017000	
