envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
133	1689000	2121000	1881000	1881000	801000	1761000	
134	1686000	2118000	1878000	1878000	798000	1758000	
135	1731000	2115000	1875000	1875000	915000	1875000	
136	1728000	2112000	1872000	1872000	912000	1872000	
137	1773000	2109000	1989000	1989000	909000	1869000	
138	1770000	2106000	1986000	1986000	906000	1866000	
139	1767000	2103000	1983000	1983000	903000	1863000	
140	1764000	2100000	1980000	1980000	9e+05	1860000	
141	1809000	2097000	1977000	1977000	1017000	1977000	
142	1830000	2094000	1974000	2094000	1014000	1974000	
143	1851000	2091000	1971000	2091000	1011000	2091000	
144	1848000	2088000	1968000	2088000	1008000	2088000	
145	1845000	2085000	1965000	2085000	1005000	2085000	
146	1890000	2082000	1962000	2202000	1122000	2082000	
147	1887000	2079000	1959000	2199000	1119000	2079000	
148	1908000	2076000	1956000	2196000	1116000	2196000	
149	1905000	2073000	1953000	2193000	1113000	2193000	
150	1902000	2070000	1950000	2190000	1110000	2190000	
151	1899000	2067000	1947000	2187000	1107000	2187000	
152	1920000	2064000	1944000	2184000	1224000	2184000	
153	1917000	2061000	1941000	2181000	1221000	2181000	
154	1938000	2058000	1938000	2178000	1338000	2178000	
155	1935000	2055000	1935000	2175000	1335000	2175000	
156	1932000	2052000	1932000	2172000	1332000	2172000	
157	1953000	2049000	1929000	2289000	1329000	2169000	
158	1950000	2046000	1926000	2286000	1326000	2166000	
159	1947000	2043000	1923000	2283000	1323000	2163000	
160	1944000	2040000	1920000	2280000	1320000	2160000	
161	1965000	2037000	1917000	2277000	1437000	2157000	
162	1986000	2154000	1914000	2274000	1434000	2154000	
163	1983000	2151000	1911000	2271000	1431000	2151000	
164	2004000	2148000	1908000	2268000	1548000	2148000	
165	2025000	2145000	1905000	2385000	1545000	2145000	
166	2046000	2142000	2022000	2382000	1542000	2142000	
167	2091000	2259000	2139000	2379000	1539000	2139000	
168	2112000	2256000	2136000	2376000	1656000	2136000	
169	2109000	2253000	2133000	2373000	1653000	2133000	
170	2106000	2250000	2130000	2370000	1650000	2130000	
171	2103000	2247000	2127000	2367000	1647000	2127000	
172	2124000	2364000	2124000	2364000	1644000	2124000	
173	2121000	2361000	2121000	2361000	1641000	2121000	
174	2142000	2358000	2238000	2358000	1638000	2118000	
175	2163000	2355000	2235000	2475000	1635000	2115000	
176	2184000	2352000	2352000	2472000	1632000	2112000	
177	2205000	2349000	2349000	2469000	1749000	2109000	
178	2202000	2346000	2346000	2466000	1746000	2106000	
179	2223000	2343000	2343000	2463000	1863000	2103000	
180	2220000	2340000	2340000	2460000	1860000	2100000	
181	2217000	2337000	2337000	2457000	1857000	2097000	
182	2214000	2334000	2334000	2454000	1854000	2094000	
183	2235000	2331000	2331000	2451000	1971000	2091000	
184	2256000	2328000	2448000	2448000	1968000	2088000	
185	2253000	2325000	2445000	2445000	1965000	2085000	
186	2322000	2442000	2442000	2562000	1962000	2202000	
187	2319000	2439000	2439000	2559000	1959000	2199000	
188	2340000	2436000	2436000	2556000	2076000	2196000	
189	2361000	2433000	2433000	2553000	2193000	2193000	
190	2358000	2430000	2430000	2550000	2190000	2190000	
191	2379000	2427000	2547000	2547000	2187000	2187000	
192	2376000	2424000	2544000	2544000	2184000	2184000	
193	2397000	2421000	2541000	2541000	2181000	2301000	
194	2442000	2538000	2538000	2658000	2178000	2298000	
195	2439000	2535000	2535000	2655000	2175000	2295000	
196	2484000	2652000	2652000	2652000	2172000	2292000	
197	2481000	2649000	2649000	2649000	2169000	2289000	
198	2502000	2646000	2646000	2646000	2166000	2406000	
199	2499000	2643000	2643000	2643000	2163000	2403000	
200	2496000	2640000	2640000	2640000	2160000	2400000	
201	2493000	2637000	2637000	2637000	2157000	2397000	
202	2514000	2634000	2754000	2634000	2154000	2394000	
203	2535000	2631000	2751000	2631000	2151000	2511000	
204	2580000	2748000	2868000	2628000	2148000	2508000	
205	2601000	2745000	2865000	2745000	2145000	2505000	
206	2598000	2742000	2862000	2742000	2142000	2502000	
207	2619000	2739000	2859000	2739000	2259000	2499000	
208	2664000	2736000	2976000	2736000	2256000	2616000	
209	2685000	2733000	2973000	2733000	2253000	2733000	
210	2682000	2730000	2970000	2730000	2250000	2730000	
211	2727000	2847000	2967000	2727000	2247000	2847000	
212	2724000	2844000	2964000	2724000	2244000	2844000	
213	2745000	2841000	2961000	2721000	2361000	2841000	
214	2814000	2838000	3078000	2838000	2478000	2838000	
215	2835000	2835000	3075000	2835000	2475000	2955000	
216	2880000	2832000	3072000	2952000	2472000	3072000	
217	2877000	2829000	3069000	2949000	2469000	3069000	
218	2874000	2826000	3066000	2946000	2466000	3066000	
219	2919000	2943000	3183000	2943000	2463000	3063000	
220	2940000	3060000	3180000	2940000	2460000	3060000	
221	2937000	3057000	3177000	2937000	2457000	3057000	
222	2982000	3174000	3174000	2934000	2454000	3174000	
223	3027000	3171000	3171000	2931000	2571000	3291000	
224	3024000	3168000	3168000	2928000	2568000	3288000	
225	3045000	3165000	3165000	3045000	2565000	3285000	
226	3042000	3162000	3162000	3042000	2562000	3282000	
227	3063000	3159000	3159000	3159000	2559000	3279000	
228	3060000	3156000	3156000	3156000	2556000	3276000	
229	3081000	3153000	3153000	3153000	2553000	3393000	
230	3126000	3270000	3270000	3150000	2550000	3390000	
231	3123000	3267000	3267000	3147000	2547000	3387000	
232	3168000	3384000	3384000	3144000	2544000	3384000	
233	3189000	3501000	3381000	3141000	2541000	3381000	
234	3234000	3618000	3378000	3138000	2658000	3378000	
235	3231000	3615000	3375000	3135000	2655000	3375000	
236	3228000	3612000	3372000	3132000	2652000	3372000	
237	3273000	3729000	3489000	3129000	2649000	3369000	
238	3270000	3726000	3486000	3126000	2646000	3366000	
239	3267000	3723000	3483000	3123000	2643000	3363000	
240	3264000	3720000	3480000	3120000	2640000	3360000	
241	3285000	3717000	3477000	3117000	2757000	3357000	
242	3354000	3834000	3594000	3234000	2754000	3354000	
243	3351000	3831000	3591000	3231000	2751000	3351000	
244	3372000	3828000	3588000	3228000	2868000	3348000	
245	3369000	3825000	3585000	3225000	2865000	3345000	
246	3414000	3822000	3702000	3222000	2982000	3342000	
247	3459000	3819000	3819000	3219000	3099000	3339000	
248	3480000	3816000	3816000	3216000	3096000	3456000	
249	3501000	3813000	3933000	3213000	3093000	3453000	
250	3498000	3810000	3930000	3210000	3090000	3450000	
251	3519000	3807000	3927000	3327000	3087000	3447000	
252	3540000	3804000	4044000	3324000	3084000	3444000	
253	3537000	3801000	4041000	3321000	3081000	3441000	
254	3558000	3798000	4038000	3438000	3078000	3438000	
255	3579000	3795000	4035000	3555000	3075000	3435000	
256	3576000	3792000	4032000	3552000	3072000	3432000	
257	3573000	3789000	4029000	3549000	3069000	3429000	
258	3594000	3786000	4026000	3546000	3186000	3426000	
259	3615000	3783000	4143000	3543000	3183000	3423000	
260	3612000	3780000	4140000	3540000	3180000	3420000	
261	3633000	3897000	4137000	3537000	3177000	3417000	
262	3654000	4014000	4134000	3534000	3174000	3414000	
263	3651000	4011000	4131000	3531000	3171000	3411000	
264	3672000	4128000	4128000	3528000	3168000	3408000	
265	3693000	4125000	4125000	3525000	3165000	3525000	
266	3714000	4122000	4122000	3642000	3162000	3522000	
267	3711000	4119000	4119000	3639000	3159000	3519000	
268	3756000	4116000	4116000	3756000	3156000	3636000	
269	3777000	4113000	4233000	3753000	3153000	3633000	
270	3774000	4110000	4230000	3750000	3150000	3630000	
271	3795000	4107000	4227000	3747000	3147000	3747000	
272	3816000	4224000	4224000	3744000	3144000	3744000	
273	3837000	4221000	4221000	3741000	3261000	3741000	
274	3834000	4218000	4218000	3738000	3258000	3738000	
275	3879000	4335000	4215000	3735000	3375000	3735000	
276	3900000	4332000	4212000	3732000	3372000	3852000	
277	3921000	4329000	4209000	3729000	3489000	3849000	
278	3918000	4326000	4206000	3726000	3486000	3846000	
279	3915000	4323000	4203000	3723000	3483000	3843000	
280	3936000	4440000	4200000	3720000	3480000	3840000	
281	3933000	4437000	4197000	3717000	3477000	3837000	
282	3978000	4554000	4194000	3714000	3474000	3954000	
283	3999000	4551000	4311000	3711000	3471000	3951000	
284	4044000	4668000	4308000	3828000	3468000	3948000	
285	4041000	4665000	4305000	3825000	3465000	3945000	
286	4062000	4782000	4302000	3822000	3462000	3942000	
287	4083000	4779000	4299000	3819000	3459000	4059000	
288	4080000	4776000	4296000	3816000	3456000	4056000	
289	4125000	4893000	4413000	3813000	3453000	4053000	
290	4146000	4890000	4410000	3930000	3450000	4050000	
291	4167000	4887000	4407000	3927000	3567000	4047000	
292	4212000	5004000	4404000	3924000	3684000	4044000	
293	4233000	5121000	4401000	3921000	3681000	4041000	
294	4230000	5118000	4398000	3918000	3678000	4038000	
295	4227000	5115000	4395000	3915000	3675000	4035000	
296	4248000	5112000	4392000	3912000	3792000	4032000	
297	4269000	5229000	4389000	3909000	3789000	4029000	
298	4338000	5226000	4506000	4026000	3906000	4026000	
299	4383000	5223000	4503000	4143000	4023000	4023000	
300	4404000	5340000	4500000	4140000	4020000	4020000	
301	4425000	5457000	4497000	4137000	4017000	4017000	
302	4422000	5454000	4494000	4134000	4014000	4014000	
303	4443000	5451000	4491000	4131000	4131000	4011000	
304	4440000	5448000	4488000	4128000	4128000	4008000	
305	4461000	5565000	4485000	4125000	4125000	4005000	
306	4482000	5562000	4482000	4242000	4122000	4002000	
307	4479000	5559000	4479000	4239000	4119000	3999000	
308	4476000	5556000	4476000	4236000	4116000	3996000	
309	4497000	5553000	4593000	4233000	4113000	3993000	
310	4590000	5670000	4710000	4350000	4110000	4110000	
311	4587000	5667000	4707000	4347000	4107000	4107000	
312	4608000	5664000	4824000	4344000	4104000	4104000	
313	4629000	5781000	4821000	4341000	4101000	4101000	
314	4626000	5778000	4818000	4338000	4098000	4098000	
315	4647000	5775000	4815000	4335000	4095000	4215000	
316	4644000	5772000	4812000	4332000	4092000	4212000	
317	4665000	5769000	4809000	4329000	4089000	4329000	
318	4686000	5766000	4806000	4326000	4206000	4326000	
319	4683000	5763000	4803000	4323000	4203000	4323000	
320	4752000	5880000	4800000	4320000	4320000	4440000	
321	4749000	5877000	4797000	4317000	4317000	4437000	
322	4746000	5874000	4794000	4314000	4314000	4434000	
323	4743000	5871000	4791000	4311000	4311000	4431000	
324	4764000	5868000	4788000	4428000	4308000	4428000	
325	4785000	5985000	4785000	4425000	4305000	4425000	
326	4830000	6102000	4902000	4422000	4302000	4422000	
327	4851000	6219000	4899000	4419000	4299000	4419000	
328	4872000	6216000	4896000	4416000	4416000	4416000	
329	4893000	6213000	4893000	4413000	4413000	4533000	
330	4914000	6210000	4890000	4410000	4530000	4530000	
331	4911000	6207000	4887000	4407000	4527000	4527000	
332	4932000	6324000	4884000	4404000	4524000	4524000	
333	4929000	6321000	4881000	4401000	4521000	4521000	
334	4950000	6438000	4878000	4398000	4518000	4518000	
335	4995000	6555000	4875000	4515000	4515000	4515000	
336	4992000	6552000	4872000	4512000	4512000	4512000	
337	4989000	6549000	4869000	4509000	4509000	4509000	
338	5010000	6546000	4866000	4506000	4626000	4506000	
339	5007000	6543000	4863000	4503000	4623000	4503000	
340	5004000	6540000	4860000	4500000	4620000	4500000	
341	5001000	6537000	4857000	4497000	4617000	4497000	
342	5022000	6534000	4854000	4494000	4734000	4494000	
343	5043000	6531000	4851000	4611000	4731000	4491000	
344	5040000	6528000	4848000	4608000	4728000	4488000	
345	5085000	6645000	4965000	4605000	4725000	4485000	
346	5106000	6642000	4962000	4602000	4842000	4482000	
