envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
134	1686000	1998000	1398000	1518000	1638000	1878000	
135	1683000	1995000	1395000	1515000	1635000	1875000	
136	1704000	2112000	1392000	1512000	1632000	1872000	
137	1701000	2109000	1389000	1509000	1629000	1869000	
138	1698000	2106000	1386000	1506000	1626000	1866000	
139	1719000	2103000	1503000	1503000	1623000	1863000	
140	1740000	2100000	1500000	1500000	1740000	1860000	
141	1737000	2097000	1497000	1497000	1737000	1857000	
142	1734000	2094000	1494000	1494000	1734000	1854000	
143	1779000	2211000	1491000	1611000	1731000	1851000	
144	1776000	2208000	1488000	1608000	1728000	1848000	
145	1797000	2205000	1605000	1605000	1725000	1845000	
146	1794000	2202000	1602000	1602000	1722000	1842000	
147	1791000	2199000	1599000	1599000	1719000	1839000	
148	1812000	2196000	1596000	1596000	1836000	1836000	
149	1833000	2193000	1593000	1713000	1833000	1833000	
150	1854000	2190000	1590000	1710000	1830000	1950000	
151	1851000	2187000	1587000	1707000	1827000	1947000	
152	1920000	2304000	1584000	1704000	1944000	2064000	
153	1917000	2301000	1581000	1701000	1941000	2061000	
154	1938000	2418000	1578000	1698000	1938000	2058000	
155	1983000	2415000	1575000	1815000	2055000	2055000	
156	2004000	2412000	1572000	1812000	2172000	2052000	
157	2025000	2409000	1569000	1809000	2169000	2169000	
158	2022000	2406000	1566000	1806000	2166000	2166000	
159	2019000	2403000	1563000	1803000	2163000	2163000	
160	2064000	2400000	1680000	1920000	2160000	2160000	
161	2109000	2397000	1677000	2037000	2277000	2157000	
162	2130000	2394000	1674000	2034000	2394000	2154000	
163	2151000	2391000	1671000	2031000	2511000	2151000	
164	2148000	2388000	1668000	2028000	2508000	2148000	
165	2145000	2385000	1665000	2025000	2505000	2145000	
166	2142000	2382000	1662000	2022000	2502000	2142000	
167	2139000	2379000	1659000	2019000	2499000	2139000	
168	2136000	2376000	1656000	2016000	2496000	2136000	
169	2133000	2373000	1653000	2013000	2493000	2133000	
170	2130000	2370000	1650000	2010000	2490000	2130000	
171	2127000	2367000	1647000	2007000	2487000	2127000	
172	2172000	2484000	1644000	2004000	2484000	2244000	
173	2169000	2481000	1641000	2001000	2481000	2241000	
174	2190000	2478000	1638000	1998000	2598000	2238000	
175	2211000	2595000	1635000	1995000	2595000	2235000	
176	2208000	2592000	1632000	1992000	2592000	2232000	
177	2205000	2589000	1629000	1989000	2589000	2229000	
178	2226000	2706000	1626000	1986000	2586000	2226000	
179	2247000	2703000	1623000	2103000	2583000	2223000	
180	2268000	2820000	1620000	2100000	2580000	2220000	
181	2265000	2817000	1617000	2097000	2577000	2217000	
182	2286000	2814000	1614000	2094000	2694000	2214000	
183	2307000	2811000	1611000	2091000	2811000	2211000	
184	2328000	2808000	1608000	2088000	2808000	2328000	
185	2325000	2805000	1605000	2085000	2805000	2325000	
186	2322000	2802000	1602000	2082000	2802000	2322000	
187	2343000	2799000	1599000	2199000	2799000	2319000	
188	2364000	2796000	1716000	2196000	2796000	2316000	
189	2361000	2793000	1713000	2193000	2793000	2313000	
190	2358000	2790000	1710000	2190000	2790000	2310000	
191	2355000	2787000	1707000	2187000	2787000	2307000	
192	2400000	2904000	1704000	2304000	2784000	2304000	
193	2445000	2901000	1821000	2301000	2901000	2301000	
194	2490000	2898000	1938000	2298000	2898000	2418000	
195	2511000	2895000	1935000	2295000	3015000	2415000	
196	2508000	2892000	1932000	2292000	3012000	2412000	
197	2505000	2889000	1929000	2289000	3009000	2409000	
198	2502000	2886000	1926000	2286000	3006000	2406000	
199	2499000	2883000	1923000	2283000	3003000	2403000	
200	2496000	2880000	1920000	2280000	3e+06	2400000	
201	2517000	2877000	2037000	2277000	2997000	2397000	
202	2538000	2874000	2034000	2274000	2994000	2514000	
203	2559000	2871000	2151000	2271000	2991000	2511000	
204	2556000	2868000	2148000	2268000	2988000	2508000	
205	2577000	2865000	2145000	2265000	3105000	2505000	
206	2574000	2862000	2142000	2262000	3102000	2502000	
207	2571000	2859000	2139000	2259000	3099000	2499000	
208	2616000	2856000	2136000	2256000	3216000	2616000	
209	2637000	2853000	2133000	2373000	3213000	2613000	
210	2634000	2850000	2130000	2370000	3210000	2610000	
211	2679000	2847000	2247000	2367000	3327000	2607000	
212	2700000	2844000	2244000	2484000	3324000	2604000	
213	2721000	2961000	2241000	2481000	3321000	2601000	
214	2742000	2958000	2238000	2478000	3318000	2718000	
215	2739000	2955000	2235000	2475000	3315000	2715000	
216	2736000	2952000	2232000	2472000	3312000	2712000	
217	2757000	3069000	2229000	2469000	3309000	2709000	
218	2778000	3066000	2346000	2466000	3306000	2706000	
219	2823000	3063000	2343000	2583000	3303000	2823000	
