envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
137	1557000	1629000	1869000	1149000	1749000	1389000	
138	1578000	1626000	1866000	1266000	1746000	1386000	
139	1599000	1623000	1863000	1383000	1743000	1383000	
140	1620000	1620000	1980000	1380000	1740000	1380000	
141	1641000	1617000	1977000	1377000	1737000	1497000	
142	1662000	1614000	1974000	1494000	1734000	1494000	
143	1683000	1731000	1971000	1491000	1731000	1491000	
144	1728000	1728000	2088000	1488000	1728000	1608000	
145	1749000	1845000	2085000	1485000	1725000	1605000	
146	1770000	1842000	2082000	1602000	1722000	1602000	
147	1791000	1839000	2079000	1719000	1719000	1599000	
148	1788000	1836000	2076000	1716000	1716000	1596000	
149	1785000	1833000	2073000	1713000	1713000	1593000	
150	1782000	1830000	2070000	1710000	1710000	1590000	
151	1803000	1827000	2067000	1827000	1707000	1587000	
152	1800000	1824000	2064000	1824000	1704000	1584000	
153	1797000	1821000	2061000	1821000	1701000	1581000	
154	1818000	1818000	2178000	1818000	1698000	1578000	
155	1815000	1815000	2175000	1815000	1695000	1575000	
156	1812000	1812000	2172000	1812000	1692000	1572000	
157	1857000	1809000	2169000	1809000	1809000	1689000	
158	1854000	1806000	2166000	1806000	1806000	1686000	
159	1875000	1803000	2283000	1803000	1803000	1683000	
160	1896000	1800000	2280000	1800000	1800000	1800000	
161	1917000	1797000	2277000	1797000	1797000	1917000	
162	1914000	1794000	2274000	1794000	1794000	1914000	
163	1935000	1791000	2271000	1911000	1791000	1911000	
164	1956000	1908000	2268000	1908000	1788000	1908000	
165	1953000	1905000	2265000	1905000	1785000	1905000	
166	1998000	1902000	2382000	1902000	1902000	1902000	
167	1995000	1899000	2379000	1899000	1899000	1899000	
168	1992000	1896000	2376000	1896000	1896000	1896000	
169	2013000	1893000	2493000	1893000	1893000	1893000	
170	2034000	1890000	2490000	1890000	2010000	1890000	
171	2031000	1887000	2487000	1887000	2007000	1887000	
172	2052000	1884000	2484000	2004000	2004000	1884000	
173	2097000	2001000	2481000	2001000	2001000	2001000	
174	2094000	1998000	2478000	1998000	1998000	1998000	
175	2115000	1995000	2595000	1995000	1995000	1995000	
176	2160000	2112000	2592000	1992000	1992000	2112000	
177	2181000	2109000	2589000	2109000	1989000	2109000	
178	2202000	2106000	2586000	2106000	1986000	2226000	
179	2199000	2103000	2583000	2103000	1983000	2223000	
180	2220000	2100000	2580000	2100000	2100000	2220000	
181	2241000	2097000	2577000	2097000	2097000	2337000	
182	2262000	2214000	2574000	2094000	2094000	2334000	
183	2307000	2211000	2571000	2211000	2091000	2451000	
184	2304000	2208000	2568000	2208000	2088000	2448000	
185	2349000	2325000	2685000	2205000	2085000	2445000	
186	2346000	2322000	2682000	2202000	2082000	2442000	
187	2391000	2439000	2679000	2319000	2079000	2439000	
188	2388000	2436000	2676000	2316000	2076000	2436000	
189	2385000	2433000	2673000	2313000	2073000	2433000	
190	2382000	2430000	2670000	2310000	2070000	2430000	
191	2379000	2427000	2667000	2307000	2067000	2427000	
192	2400000	2424000	2784000	2304000	2064000	2424000	
193	2421000	2421000	2781000	2301000	2061000	2541000	
194	2418000	2418000	2778000	2298000	2058000	2538000	
195	2415000	2415000	2775000	2295000	2055000	2535000	
196	2436000	2412000	2892000	2292000	2052000	2532000	
197	2457000	2409000	3009000	2289000	2049000	2529000	
198	2478000	2526000	3006000	2286000	2046000	2526000	
199	2499000	2523000	3003000	2403000	2043000	2523000	
200	2520000	2520000	3e+06	2400000	2040000	2640000	
201	2541000	2517000	2997000	2397000	2157000	2637000	
202	2562000	2514000	2994000	2394000	2154000	2754000	
203	2607000	2631000	2991000	2511000	2151000	2751000	
